			도서출판 한티재 출간 도서 목록								ㄴ					
No.	분 야	시리즈	제 목	부 제	지은이	옮긴이	발행일	쪽수	 가격	판형	ISBN	선정 / 추천 / 수상	절판 여부	전자책	전자책 ISBN (시리즈  ISBN)	원고량
1	사회과학 / 칼럼		우리시대의 몸 삶 죽음	첨단의학과 삶의 문제에 대하여	김진국		2010-10-08	328쪽	  15,000 	152*225	978-89-964413-1-1  03810					1098매
2	인문		인문학을 만나다 	대구경북지역의 자생적 인문학 커뮤니티를 찾아서	김재현·정승원		2010-12-15	216쪽	  10,000 	140*190	978-89-964413-2-8  03100		절판			608매
3	예술		근대의 아틀리에	대구 근대미술 산책	김영동		2011-04-27	272쪽	  15,000 	152*210	978-89-964413-5-9  03600					525매
4	청소년		PM 1:00 꿈을 적는 시간		김민정 외		2011-05-31	184쪽	  10,000 	152*210	978-89-964413-6-6  03810	대구광역시교육청 책쓰기 프로젝트 선정작				347매
5	청소년		보이지 않던 세상을 보다	열네 살, 서평에 눈을 뜨다	권윤한 외		2011-05-31	192쪽	  10,000 	152*210	978-89-964413-7-3  03810	대구광역시교육청 책쓰기 프로젝트 선정작				449매
6	청소년		파라나, 날아오르다	열세 명 고등학생 작가들, 꿈을 찾아가는 소설 쓰기	김지현 외		2011-06-07	464쪽	  13,000 	152*225	978-89-964413-8-0  03810	대구광역시교육청 책쓰기 프로젝트 선정작				1761매
7	청소년		씨밀레	 고등학생 저자 10인의 옴니버스 북	이현우 외		2011-06-15	320쪽	  13,000 	152*225	978-89-964413-9-7  03810	대구광역시교육청 책쓰기 프로젝트 선정작	절판			997매
8	사회과학		비아캄페시나	세계화에 맞서는 소농의 힘	아네트 아우렐리 데스마레이즈	박신규 외	2011-08-25	464쪽	  20,000 	144*205	978-89-97090-00-6  03300					1566매
9	에세이		기억과 상식	김진국 비평집	김진국		2011-10-17	320쪽	  15,000 	152*210	978-89-97090-01-3  03810					1024매
10	사회과학 / 칼럼		땅과 정의	토지·정의·복지에 관한 에세이	김윤상		2011-12-19	320쪽	  15,000 	152*210	978-89-97090-02-0  03330					961매
11	예술 / 에세이		파랑새는 날아온다	화가 전선택의 그림과 인생 이야기	전선택		2012-02-20	208쪽	  15,000 	152*210	978-89-97090-03-7  03810		절판			212매
12	인문 / 에세이		오늘도 걷는다마는	정지창 칼럼집	정지창		2012-04-30	288쪽	  15,000 	152*210	978-89-97090-04-4  03810					815매
13	청소년		이팔청춘, 2막 23장	열여섯 살, 중3들의 책과 영화와 세상 이야기	금지원 외		2012-05-21	256쪽	  14,000 	152*210	978-89-97090-05-1  03810	대구광역시교육청 책쓰기 프로젝트 선정작				728매
14	소설		내캉 살자	정도건 장편소설	정도건		2012-06-11	328쪽	  13,000 	134*200	978-89-97090-06-8  03810		절판			1054매
15	인문 / 철학		얼굴 국가 사건	들뢰즈/가타리와 사유하기	박지웅 외		2012-06-29	372쪽	  18,000 	150*220	978-89-97090-07-5  93100					1179매
16	교육		마을이 아이를 키운다	대구의 마을학교 이야기	마을교육연구소		2012-09-10	320쪽	  15,000 	150*220	978-89-97090-08-2  03300		절판			
17	예술		대구, 찬란한 예술의 기억	대구 예술가의 삶과 예술	임언미		2012-10-15	280쪽	  15,000 	152*215	978-89-97090-10-5  03810					611매
18	교육 / 여행		여행하며 크는 아이들	굴렁쇠 선생님의 답사여행 길잡이	구경래 외		2012-11-05	432쪽	  17,000 	144*205	978-89-97090-09-9  13980		절판	● 	978-89-97090-22-8  15980 / 978-89-97090-24-2  15980 / 978-89-97090-25-9  15980 / 978-89-97090-26-6  15980	
19	시	한티재 시선 001	어린 왕자, 후쿠시마 이후	변홍철 시집	변홍철		2012-11-19	124쪽	  8,000 	125*200	978-89-97090-11-2  03810					
20	사회과학 / 칼럼		캠퍼스 드림	김사열 교수의 대학과 지역 돌아보기	김사열		2012-12-29	288쪽	  15,000 	152*210	978-89-97090-12-9  03810					
21	청소년		강냉이, 공부하다 빵 터지다	청소년이 이야기하는 삶과 배움	청소년 인문학 모임 강냉이		2013-01-14	256쪽	  15,000 	152*210	978-89-97090-13-6  03810	한국출판문화산업진흥원 청소년 권장 도서	절판			
22	사회과학		마음이 따뜻한 사람, 이성경	이성경 추모집	이성경동지추모사업회 엮음		2013-01-28	312쪽	  16,000 	152*210	978-89-97090-14-3  03810					
23	인문 / 에세이		청춘의 커리큘럼	고민하는 청년들과 함께하는 공부의 길	이계삼		2013-03-25	336쪽	  15,000 	144*205	978-89-97090-15-0  03100	2013 올해의 청소년 환경책				
24	사회과학		밥상의 전환	기후변화와 농업, 협동조합의 미래	에너지기후정책연구소/모심과살림연구소		2013-07-01	232쪽	  11,000 	140*200	978-89-97090-17-4  03300	2013 환경책 큰잔치 ‘다음 100년을 살리는 환경책’				
25	인문 / 에세이		나이듦의 길	늙음·죽음·자연, 우리가 잊고 사는 것들	김진국		2013-09-02	328쪽	  16,000 	144*205	978-89-97090-18-1  03810			● 	979-11-90178-00-6 (05810)	
26	에세이		57! 세상에 말을 걸다		경북고 57회 동기들		2013-10-07	368쪽	  15,000 	152*210	978-89-97090-19-8  03810					
